sentence,entities
Agreement This document is prepared for Taylor and Sons Effective Date Terms War bar customer seem Above discussion recent bar rate institution thus Card everything market light carry Signatures Daniel Rice Research scientist physical sciences,"[('Taylor', 'PERSON'), ('Card', 'PRODUCT'), ('Signatures Daniel Rice Research', 'ORG')]"
Compliance Document This document is prepared for Camacho Pena and Duncan Effective Date Terms Manager dog many role Employee whether affect respond White heart finally allow their Signatures Felicia Johnson Engineer maintenance IT,"[('Camacho Pena', 'PRODUCT'), ('Duncan Effective Date Terms', 'ORG'), ('Felicia Johnson', 'PERSON')]"
Compliance Document This document is prepared for RogersJohnson Effective Date Terms Data energy nor site sound Drug nearly interest red yet happy Market group peace small for Signatures Jordan Carroll Engineer building services,"[('RogersJohnson Effective Date Terms Data', 'ORG'), ('Signatures Jordan Carroll Engineer', 'ORG')]"
Compliance Document This document is prepared for Hall Group Effective Date Terms Little bring likely from Year stuff rest life old Develop affect speak discuss Signatures Steven Evans Psychologist clinical,"[('Hall Group Effective Date Terms', 'ORG'), ('Year', 'DATE'), ('Develop', 'ORG'), ('Signatures Steven Evans', 'PERSON')]"
Compliance Document This document is prepared for Newman Ltd Effective Date Terms Assume without believe note always Challenge water contain student radio job box Human material if every way decision Signatures Mark Carter Computer games developer,"[('Newman Ltd Effective Date Terms', 'ORG'), ('Challenge', 'PRODUCT'), ('Signatures Mark Carter Computer', 'PERSON')]"
Agreement This document is prepared for Gomez LLC Effective Date Terms Maintain among know smile Lose offer society poor purpose Stuff seven yourself Signatures Victor Warner Field seismologist,"[('Gomez LLC Effective Date Terms Maintain', 'ORG'), ('Lose', 'PRODUCT'), ('seven', 'CARDINAL'), ('Signatures Victor Warner Field', 'ORG')]"
Compliance Document This document is prepared for Davis Leonard and Harrington Effective Date Terms Start operation news minute choose least Begin detail expect I rule reality Line new dream ahead system course sure Signatures Jessica Clark Petroleum engineer,"[('Davis Leonard', 'PERSON'), ('Harrington Effective Date', 'ORG'), ('Signatures Jessica Clark Petroleum', 'ORG')]"
Contract This document is prepared for Williams LLC Effective Date Terms Skin enter manage contain Suffer imagine push Enough near similar explain result Signatures Curtis Simmons Scientist research medical,"[('Williams LLC Effective Date Terms Skin', 'ORG')]"
Agreement This document is prepared for Davis Briggs and White Effective Date Terms Attention or year develop up individual Moment gas under heart affect grow Seven those attack Signatures Vanessa Yang Haematologist,"[('Davis Briggs', 'PERSON'), ('White Effective Date Terms Attention', 'ORG'), ('year', 'DATE'), ('Seven', 'CARDINAL'), ('Signatures Vanessa Yang Haematologist', 'PERSON')]"
Agreement This document is prepared for Blankenship PLC Effective Date Terms There determine whose treat high question baby Civil animal for I decide both Certain detail laugh authority heavy Signatures Susan Watts Community education officer,"[('Blankenship PLC', 'ORG'), ('Signatures', 'PERSON'), ('Watts Community', 'ORG')]"
Contract This document is prepared for AyalaLane Effective Date Terms Language account reality condition Coach and media everyone Need really nor whatever Signatures Melanie Watson Pension scheme manager,"[('AyalaLane Effective Date Terms Language', 'ORG'), ('Coach', 'ORG'), ('Signatures Melanie Watson Pension', 'ORG')]"
Compliance Document This document is prepared for HarveyCoffey Effective Date Terms Win activity responsibility mention evening push growth natural Catch hour recognize security risk Front party quality if move some Signatures Todd Johnson Technical brewer,"[('HarveyCoffey Effective Date Terms Win', 'ORG'), ('evening', 'TIME'), ('Catch hour', 'WORK_OF_ART'), ('Front', 'ORG')]"
Compliance Document This document is prepared for Ramirez West and Vazquez Effective Date Terms The character others According remember responsibility impact movement call Everybody prove open as away reduce reach Signatures Kelly Carroll Jewellery designer,"[('Ramirez West', 'PERSON'), ('Vazquez Effective Date', 'ORG'), ('Signatures Kelly Carroll Jewellery', 'PERSON')]"
Contract This document is prepared for Marshall PLC Effective Date Terms Offer usually seek support Them evening send less final Quickly say want individual present who practice Signatures Madison Cunningham Sales promotion account executive,"[('Marshall PLC', 'ORG'), ('Them', 'ORG'), ('Signatures Madison', 'PERSON')]"
Agreement This document is prepared for Henry Group Effective Date Terms Speech rich various fill two Our account develop camera account Hit wait hot Signatures Tracy Lowe Advertising art director,"[('Henry Group Effective Date', 'ORG'), ('two', 'CARDINAL')]"
Contract This document is prepared for Wong Small and Campbell Effective Date Terms Last discuss someone teacher sort western really Scientist might prevent example recently Car check officer anyone skin it tax Signatures Jordan Rogers Research officer trade union,"[('Wong Small', 'PERSON'), ('Campbell Effective Date Terms', 'ORG'), ('Car', 'ORG'), ('Signatures Jordan Rogers Research', 'ORG')]"
Compliance Document This document is prepared for RobinsonSkinner Effective Date Terms Draw available past institution history various so How station record their sure nation beyond cause System image process whose sister drive Signatures Larry Willis DVM Copy,"[('RobinsonSkinner Effective Date Terms', 'ORG'), ('System', 'PRODUCT'), ('Signatures', 'PERSON'), ('Larry Willis', 'PERSON')]"
Compliance Document This document is prepared for Jennings Larson and Mcgrath Effective Date Terms Environmental many either hotel radio song wait school System member politics Color could life head especially Mr agent check Signatures Karina Carter Geochemist,"[('Jennings Larson', 'PERSON'), ('Mcgrath Effective Date Terms Environmental', 'ORG'), ('System', 'ORG'), ('Color', 'PERSON'), ('Signatures Karina', 'PERSON')]"
Compliance Document This document is prepared for ClarkMccarthy Effective Date Terms Little reflect lot help player amount Space economy work assume although build think Professional quickly middle bank Signatures Daniel Johnson Academic librarian,"[('ClarkMccarthy Effective Date Terms', 'ORG'), ('Daniel Johnson', 'PERSON')]"
Contract This document is prepared for Jones Mitchell and Diaz Effective Date Terms Pull mean require Open level box Simply theory ready all power Signatures Phillip Hernandez Database administrator,"[('Jones Mitchell', 'PERSON'), ('Diaz Effective Date Terms', 'ORG'), ('Simply', 'PERSON'), ('Signatures Phillip Hernandez Database', 'PERSON')]"
Contract This document is prepared for Smith Holt and Webb Effective Date Terms Board day draw husband whether Civil determine account road allow opportunity old Soon heavy paper mission help fly happy Signatures Linda Miller Doctor general practice,"[('Smith Holt', 'ORG'), ('Webb Effective Date Terms Board', 'ORG'), ('Civil', 'ORG'), ('Signatures', 'PERSON'), ('Linda Miller', 'PERSON')]"
Agreement This document is prepared for JohnsonContreras Effective Date Terms Better fish explain affect different Generation teach edge stock Medical drive board system break measure end Signatures Mrs Carolyn Wheeler Equities trader,"[('JohnsonContreras Effective Date Terms Better', 'ORG'), ('Signatures Mrs Carolyn Wheeler Equities', 'PERSON')]"
Contract This document is prepared for Brown Baxter and Ray Effective Date Terms Red we case heavy drive rest should message Stand safe born Address camera fact alone program Signatures Philip Rivera Audiological scientist,"[('Signatures Philip Rivera Audiological', 'ORG')]"
Contract This document is prepared for Carr Ltd Effective Date Terms Every bag everybody culture notice name apply along When include key share long mention medical Yard represent fast long try current serious partner Signatures Gregory Gaines Hydrogeologist,"[('Carr Ltd Effective Date Terms', 'ORG'), ('Yard', 'PERSON'), ('Signatures Gregory', 'ORG')]"
Compliance Document This document is prepared for Callahan Inc Effective Date Terms Enjoy land among foreign discuss admit fight attention Particularly me him particularly usually call push Parent go very agree Signatures Caitlin Knight Software engineer,"[('Callahan Inc Effective Date Terms', 'ORG'), ('Signatures Caitlin Knight Software', 'PERSON')]"
Agreement This document is prepared for Mason Torres and Green Effective Date Terms Result likely avoid become range Consider both let whole Final partner radio entire civil peace Signatures Barbara Richards Financial planner,"[('Mason Torres', 'ORG'), ('Green Effective Date Terms Result', 'ORG'), ('Signatures Barbara Richards', 'PERSON')]"
Contract This document is prepared for Willis Pham and Coleman Effective Date Terms Maybe sign series avoid support large Chance then trouble approach result each Stay science admit door them baby however Signatures Cheryl Bauer Education officer environmental,"[('Willis Pham', 'FAC'), ('Coleman Effective Date Terms', 'ORG'), ('Stay', 'PRODUCT')]"
Contract This document is prepared for Eaton Berry and Saunders Effective Date Terms Laugh east tend time Wife involve ten its east daughter conference Prove forget spring run character Signatures Theresa Ryan Web designer,"[('Eaton Berry', 'PERSON'), ('ten', 'CARDINAL'), ('spring', 'DATE'), ('Signatures Theresa Ryan', 'PERSON')]"
Contract This document is prepared for Peters Anderson and Oconnell Effective Date Terms Body service personal before Loss look line within Somebody meeting physical American vote Signatures Gloria Edwards Engineer structural,"[('Peters Anderson', 'PERSON'), ('Oconnell Effective Date Terms Body', 'ORG'), ('American', 'NORP'), ('Signatures Gloria', 'PERSON')]"
Contract This document is prepared for DyerPerry Effective Date Terms Too while him worker letter Discover society number surface often can where section Season of listen bag sister Signatures Deanna Franklin Learning mentor,"[('DyerPerry Effective Date Terms', 'ORG'), ('Discover', 'GPE'), ('Signatures Deanna', 'PERSON'), ('Franklin Learning', 'PERSON')]"
Contract This document is prepared for SmithJohnson Effective Date Terms Produce interesting executive west surface success High safe special find thousand water American Clearly painting data skill Signatures Morgan Anderson Air broker,"[('SmithJohnson Effective Date Terms Produce', 'ORG'), ('American', 'NORP'), ('Signatures Morgan', 'PERSON'), ('Anderson Air', 'PERSON')]"
Compliance Document This document is prepared for AndersonJackson Effective Date Terms Low security surface give wrong none floor result Development also cut class catch sell Record its important lay pull Signatures Jonathan Lane Advertising copywriter,"[('AndersonJackson Effective Date Terms', 'ORG'), ('Signatures Jonathan Lane Advertising', 'PERSON')]"
Contract This document is prepared for Torres Hill and Obrien Effective Date Terms Allow tough he partner series just drop Ever detail room Congress hour determine tend Old class concern cup enjoy different book Signatures Amanda Jacobson Games developer,"[('Obrien Effective Date', 'ORG'), ('Congress', 'ORG'), ('Signatures Amanda Jacobson Games', 'WORK_OF_ART')]"
Agreement This document is prepared for Hernandez Ltd Effective Date Terms Issue wrong three popular Deep brother fire doctor Generation oil assume politics when imagine Signatures Ashley Gallagher Lecturer higher education,"[('Hernandez Ltd Effective Date Terms', 'ORG'), ('three', 'CARDINAL'), ('Deep', 'NORP'), ('Signatures Ashley', 'PERSON')]"
Agreement This document is prepared for WhitakerStevens Effective Date Terms Officer tonight enough teacher its Institution term even yard woman Man always open cause Signatures Ashley Cox Ophthalmologist,"[('WhitakerStevens Effective Date Terms', 'ORG'), ('tonight', 'TIME'), ('Institution', 'ORG'), ('Signatures Ashley Cox Ophthalmologist', 'PERSON')]"
Agreement This document is prepared for Bradley Swanson and Lee Effective Date Terms If cup whole fish least Exactly require hear safe actually Matter artist nature manager yet Signatures Kirsten Carr Loss adjuster chartered,"[('Bradley Swanson', 'PERSON'), ('Lee Effective Date Terms', 'PERSON'), ('Signatures Kirsten Carr', 'PERSON')]"
Contract This document is prepared for Gonzalez PLC Effective Date Terms Mean return anything painting country talk early Public especially look cut contain Individual available light simply enter ask relate Signatures Amanda Harris Geographical information systems officer,"[('Gonzalez PLC', 'ORG'), ('Signatures Amanda Harris Geographical', 'ORG')]"
Compliance Document This document is prepared for DeckerTapia Effective Date Terms Teach task rate change whatever mention Camera light serious nothing entire Thing likely perhaps clear discussion Signatures Mark Velazquez Doctor general practice,"[('DeckerTapia Effective Date Terms Teach', 'ORG'), ('Camera', 'PERSON'), ('Thing', 'ORG'), ('Signatures Mark Velazquez', 'PERSON')]"
Contract This document is prepared for Logan Inc Effective Date Terms Official sea price talk on the once popular Term let along occur prevent seek surface Large drop pattern forget factor popular Signatures Jose Alvarez Facilities manager,"[('Logan Inc Effective Date Terms Official', 'ORG'), ('Signatures Jose Alvarez Facilities', 'PERSON')]"
Contract This document is prepared for Watts PLC Effective Date Terms Effect receive those win company few Myself computer last perform guess college almost Image tonight executive might establish choice cut yard Signatures James Jenkins Copy,"[('Watts PLC', 'ORG'), ('Myself', 'ORG'), ('Image', 'ORG'), ('tonight', 'TIME'), ('Signatures James Jenkins Copy', 'PERSON')]"
Contract This document is prepared for Camacho and Sons Effective Date Terms Myself reflect name day Turn force parent sound artist mind toward Cover since drive part Signatures Nicholas Montgomery Company secretary,"[('Camacho', 'ORG'), ('Signatures Nicholas Montgomery Company', 'ORG')]"
Compliance Document This document is prepared for Ortiz LLC Effective Date Terms Picture chair nothing mind note About herself argue Single such weight Signatures Dustin Juarez Music therapist,"[('Single', 'PRODUCT'), ('Signatures Dustin', 'PERSON')]"
Compliance Document This document is prepared for Jefferson and Sons Effective Date Terms Thus energy site major Prevent of just herself board On within thought task Signatures Sandra Holmes Licensed conveyancer,"[('Jefferson and Sons Effective Date Terms', 'ORG'), ('Signatures Sandra', 'PERSON'), ('Holmes Licensed', 'PERSON')]"
Contract This document is prepared for WallaceMoore Effective Date Terms Loss teach course consumer thing Yes fall call power involve house real It democratic suggest firm teacher push Signatures Thomas Camacho Office manager,"[('WallaceMoore Effective Date Terms', 'ORG'), ('Signatures Thomas', 'ORG'), ('Camacho Office', 'ORG')]"
Compliance Document This document is prepared for Boyle and Sons Effective Date Terms Night kind material item tell seem her Toward there also half write then their skin Into trade rate stop matter which Signatures William Patton Charity officer,"[('Boyle and Sons Effective Date Terms Night', 'ORG'), ('Toward', 'PERSON'), ('half', 'CARDINAL'), ('Signatures', 'PERSON'), ('Patton Charity', 'ORG')]"
Contract This document is prepared for Parrish and Sons Effective Date Terms Decade trial which audience hold Side because inside War hope TV Signatures Kevin Barrera Comptroller,"[('Parrish and Sons Effective Date Terms Decade', 'WORK_OF_ART'), ('Kevin Barrera Comptroller', 'PERSON')]"
Compliance Document This document is prepared for Henson Ltd Effective Date Terms Free happen box continue High power professor Especially half mind contain large area economy Signatures James Morris Clinical cytogeneticist,"[('Henson Ltd Effective Date Terms Free', 'ORG'), ('Signatures James Morris Clinical', 'ORG')]"
Agreement This document is prepared for Jones Bryant and Levy Effective Date Terms What spend people condition education ahead Politics section law left Event draw yourself day when election Signatures Heather Martin Scientist water quality,"[('Jones Bryant', 'PERSON'), ('Levy Effective Date', 'ORG'), ('Politics', 'NORP')]"
Compliance Document This document is prepared for Wallace PLC Effective Date Terms Building pay according eye Team foot theory south Compare wonder thus drug Signatures Cheryl Simmons Press sub,"[('Wallace PLC', 'ORG'), ('Signatures Cheryl Simmons', 'PERSON')]"
Compliance Document This document is prepared for Phelps Little and Sampson Effective Date Terms Available any reflect money address Specific president three act have majority information Relate test down million study Signatures Alicia Cobb Industrial buyer,"[('Phelps Little', 'ORG'), ('Sampson Effective Date Terms Available', 'ORG'), ('three', 'CARDINAL'), ('million', 'CARDINAL'), ('Signatures Alicia Cobb', 'PERSON')]"
